num_layer,num_hidden,dropout,lr,mean_acc,std_acc,mean_auc,std_auc,mean_bal_acc,std_bal_acc
2,32,0.2,0.005,0.909027773141861,0.00970360500417423,0.8850260368590831,0.020012552129502457,0.7078743682748224,0.02183428867753055
2,32,0.2,0.001,0.9104166686534881,0.014108504813413128,0.8847916951888495,0.026613022341314865,0.7378177600156592,0.03006532415134316
2,32,0.2,0.0005,0.9104166746139526,0.01371857305770125,0.8823244438696044,0.024442970651173537,0.7040124212151351,0.03776245150118212
2,64,0.2,0.005,0.9142361104488372,0.010335345241675961,0.8854182766914424,0.027497767788600785,0.7284143367651383,0.03955945571834608
2,64,0.2,0.001,0.9086805582046509,0.013226393589508691,0.8884366269952124,0.02523808410750167,0.7317153025267914,0.03362639811466537
2,64,0.2,0.0005,0.912847226858139,0.011029434575408172,0.8905849248153863,0.025198968790841395,0.7415272525335779,0.030200607851933334
3,32,0.2,0.005,0.9095486044883728,0.010400737375728174,0.8864147334189951,0.025622829412830703,0.7102457745084105,0.029121555666779025
3,32,0.2,0.001,0.9097222208976745,0.01505519710318031,0.8885283502440323,0.027148532893349765,0.7412400608731707,0.035570798840115936
3,32,0.2,0.0005,0.9111111104488373,0.013330802885706837,0.8896364351181593,0.025115513417655663,0.7175375848812122,0.030461622822045616
3,64,0.2,0.005,0.9093750059604645,0.014583327798628937,0.8837300749232722,0.027048644955280206,0.7139186678943447,0.03894482952384673
3,64,0.2,0.001,0.9116319477558136,0.012697368058737526,0.8865022708334068,0.02015108954617281,0.738279252674722,0.02404266360656941
3,64,0.2,0.0005,0.9159722208976746,0.00985768570605947,0.8868852764683972,0.02619409301481333,0.7441728853484642,0.02558217891919702
4,32,0.2,0.005,0.9071180522441864,0.01073724507777354,0.8788571746204958,0.02802500089015181,0.6993026658342338,0.04255970450221746
4,32,0.2,0.001,0.9065972149372101,0.015111152162033388,0.8860295461758174,0.029703737896873705,0.7253734264603005,0.032742526821171035
4,32,0.2,0.0005,0.9088541746139527,0.012810808544375584,0.8839589419185498,0.03236275202796963,0.7207946235436461,0.03425389098421402
4,64,0.2,0.005,0.9107638895511627,0.014129856035643257,0.8863561552957512,0.029021412370706996,0.7118914770495101,0.03913404406269245
4,64,0.2,0.001,0.9133680582046508,0.010225391985258904,0.8883709489633244,0.023685046319863266,0.7399701349158191,0.03387546441870527
4,64,0.2,0.0005,0.9064236104488372,0.009523322461447074,0.8855254487717993,0.025667612003831324,0.7266991299873707,0.032889089865817796
2,32,0.4,0.005,0.9060763835906982,0.009266672323768856,0.8751926398979138,0.02428412367243855,0.6693535177158282,0.06578051245639065
2,32,0.4,0.001,0.9046874880790711,0.009427896989085235,0.8784529782775318,0.02722157011256408,0.6696599344544583,0.03564739896694843
2,32,0.4,0.0005,0.897222226858139,0.015888973178436898,0.8725891538976172,0.025624101969835923,0.6911093776926258,0.050114733383534726
2,64,0.4,0.005,0.9098958373069763,0.015787163235571704,0.8843831613681985,0.02446203747046529,0.7064252213673333,0.0342094096698955
2,64,0.4,0.001,0.9017361104488373,0.009419899995833233,0.8853602033731953,0.025472437180076957,0.7416224691466711,0.048878733934841205
2,64,0.4,0.0005,0.9026041626930237,0.020103684184217662,0.8812965349285535,0.025229773562588508,0.7285671497353272,0.03943248316279227
3,32,0.4,0.005,0.8958333313465119,0.01589277574125564,0.8761441382490276,0.028308294809485133,0.595627227285038,0.08423626865475793
3,32,0.4,0.001,0.9012152791023255,0.014283679076418823,0.8829735268401071,0.02844525149858018,0.6856367895955915,0.047600097107663886
3,32,0.4,0.0005,0.9045138835906983,0.012851906400767948,0.8780418618715832,0.029672924649260485,0.6987655649002749,0.06012450184472489
3,64,0.4,0.005,0.9055555582046508,0.011013023104931316,0.8845098009220743,0.025949873692316525,0.7057151444089002,0.04120972957693073
3,64,0.4,0.001,0.9052083313465118,0.012833142512659625,0.8855040574990465,0.024622252326436663,0.7354606407948738,0.03446893956109108
3,64,0.4,0.0005,0.9039930522441864,0.013359031127179177,0.8823505939889087,0.02651845376917827,0.7231485226798349,0.041733088569806454
4,32,0.4,0.005,0.8897569477558136,0.01878293108226711,0.874363846288728,0.025638882207177457,0.5837435963921366,0.10193829991779128
4,32,0.4,0.001,0.8993055582046509,0.014669879008774917,0.8822402086905494,0.027694565326266244,0.6742275347395195,0.05225800779332748
4,32,0.4,0.0005,0.9006944477558136,0.01912561592493268,0.8735002235021291,0.031177647692747366,0.662732928130913,0.08462049088606535
4,64,0.4,0.005,0.9036458313465119,0.012740035090702496,0.8772470047902816,0.026236963162644126,0.7176109772681314,0.034533756841871224
4,64,0.4,0.001,0.9104166746139526,0.013696587059136732,0.8840062899385452,0.0307317066787442,0.7178906560778373,0.03226035156948369
4,64,0.4,0.0005,0.9079861164093017,0.017482217282528564,0.886501264186441,0.028899174961865032,0.7499751227101135,0.03820258608031137
2,32,0.6,0.005,0.884027773141861,0.016393151217860027,0.8527983256736513,0.027614310602908893,0.5,0.0
2,32,0.6,0.001,0.8871527791023255,0.01850404346814049,0.8540272496636152,0.0355133722830101,0.5247061603925227,0.0335205723215532
2,32,0.6,0.0005,0.8859374940395355,0.017705777492619344,0.8509092867442382,0.0254847450561818,0.5143641726332251,0.019187543476941626
2,64,0.6,0.005,0.8880208313465119,0.015337836015702674,0.868123240113496,0.02208035330057219,0.5370566990478265,0.04889564093194474
2,64,0.6,0.001,0.8923611104488373,0.015135061370048324,0.8651537480104551,0.02777833528782957,0.6186949484472948,0.08403070678778116
2,64,0.6,0.0005,0.896875,0.013784335062523124,0.8700619185825647,0.02725971013328304,0.6740388033582605,0.04895010924304044
3,32,0.6,0.005,0.8848958194255829,0.015874744371410315,0.8409734077250623,0.019594066651138862,0.5,0.0
3,32,0.6,0.001,0.88472221493721,0.01311194547006955,0.850677443130383,0.021498911074657033,0.5271967999794629,0.039156858035598596
3,32,0.6,0.0005,0.8878472208976745,0.017827084510956662,0.8463543679630522,0.02800459562259168,0.5332440778555393,0.04148362832758455
3,64,0.6,0.005,0.8868055462837219,0.016263950335372705,0.8607997312316004,0.02766666478769556,0.5134952004517223,0.040485601355166566
3,64,0.6,0.001,0.8956597208976745,0.018166221995168378,0.8708770560386159,0.031726990014410004,0.6075056402930387,0.04320781316090417
3,64,0.6,0.0005,0.8881944417953491,0.01865329111271053,0.87168280716291,0.027086373346036346,0.585974861183517,0.06097786846180708
4,32,0.6,0.005,0.8852430522441864,0.015262986219580157,0.8388355220184609,0.01997834700621329,0.5068217054263566,0.020465116279069752
4,32,0.6,0.001,0.8864583253860474,0.01623426111664336,0.8655987972981413,0.024242611177578505,0.5097460716156574,0.01206095063680759
4,32,0.6,0.0005,0.8848958253860474,0.018439592456543204,0.8525439878518769,0.0204974458988716,0.509613410456857,0.026871861958071872
4,64,0.6,0.005,0.884375,0.016437229043474253,0.8534506177053943,0.022046832938088512,0.5137107795286571,0.041132338585971276
4,64,0.6,0.001,0.8920138835906982,0.010947141590040278,0.8715975038355228,0.02815569982809035,0.5521642834613001,0.07736679418813538
4,64,0.6,0.0005,0.8939236044883728,0.01692953240102758,0.8673052950676204,0.03484202664925551,0.5929352713180034,0.058449421202155384
