model,method,topk,fidp,fidm
GAT,DummyExplainer,1,0.01834301436869459,0.8959798226841944
GAT,DummyExplainer,5,0.05709263222256191,0.8785539590339346
GAT,DummyExplainer,10,0.1021858758789361,0.8229899113420972
GAT,DummyExplainer,15,0.13963619688168755,0.7679608682360135
GAT,DummyExplainer,20,0.17716294711097524,0.7095689391623357
GAT,DummyExplainer,30,0.23616630999694282,0.653546316111281
GAT,DummyExplainer,40,0.2561907673494344,0.6420055029043106
GAT,DummyExplainer,50,0.2825588505044329,0.6141852644451238
