model,method,topk,fidp,fidm
GAT,AttentionExplainer,1,0.028278813818404157,0.8545551819015591
GAT,AttentionExplainer,5,0.1018801589727912,0.7284469581167838
GAT,AttentionExplainer,10,0.13764903699174563,0.5723020483032711
GAT,AttentionExplainer,15,0.16638642616936716,0.46079180678691534
GAT,AttentionExplainer,20,0.19894527667380005,0.38428615102415165
GAT,AttentionExplainer,30,0.2463313971262611,0.28775603790889637
GAT,AttentionExplainer,40,0.28852033017425865,0.22814124121063895
GAT,AttentionExplainer,50,0.31741057780495263,0.19451238153469888
