model,method,topk,fidp,fidm
GAT,GNNExplainer,1,0.04173035768878019,0.8928462243962091
GAT,GNNExplainer,5,0.2298991134209722,0.8274992357077346
GAT,GNNExplainer,10,0.4717976154081321,0.6585142158361358
GAT,GNNExplainer,15,0.65255273616631,0.4551360440232345
GAT,GNNExplainer,20,0.7510700091715072,0.3129012534393152
GAT,GNNExplainer,30,0.8304799755426475,0.13466829715683276
GAT,GNNExplainer,40,0.8590645062671965,0.055029043106083766
GAT,GNNExplainer,50,0.8598287985325589,0.03683888719046163
