model,method,topk,fidp,fidm
GIN,DummyExplainer,1,0.022317334148578418,0.10562519107306634
GIN,DummyExplainer,5,0.05823907062060532,0.10562519107306634
GIN,DummyExplainer,10,0.0832314276979517,0.10562519107306634
GIN,DummyExplainer,15,0.099128706817487,0.10562519107306634
GIN,DummyExplainer,20,0.10279730969122593,0.10562519107306634
GIN,DummyExplainer,30,0.10501375726077652,0.10562519107306634
GIN,DummyExplainer,40,0.10562519107306634,0.10562519107306634
GIN,DummyExplainer,50,0.10562519107306634,0.10562519107306634
